outer_fold,seed_index,config_id,fit_rows,fit_features,validation_rows,projection_components,projection_hash,validation_outcomes_used
CV03,17,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,17,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,17,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,18,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,18,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,18,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,19,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,19,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,19,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV03,20,TSQR-04,1024,4,9750,4,71d7b4a8fc5e3ffd394a65497e1aa28236fd6b115034be1d63c14abe77747d6d,0
CV03,20,TSQR-06,1024,6,9750,6,064ad20cf191280345e62c7f2145fc57280f6914c267fedd9a987085b2e202a5,0
CV03,20,TSQR-08,1024,8,9750,8,0ffdfe1729a5fbe66b863f64abadcb1d4d5b4f693faf92038288aa01affb601a,0
CV04,1,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,1,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,1,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,2,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,2,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,2,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,3,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,3,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,3,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,4,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,4,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,4,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,5,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,5,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,5,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,6,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,6,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,6,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,7,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,7,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,7,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,8,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,8,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,8,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,9,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,9,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,9,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,10,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,10,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,10,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,11,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,11,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,11,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,12,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,12,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,12,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,13,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,13,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,13,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,14,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,14,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,14,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,15,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,15,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,15,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,16,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,16,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
CV04,16,TSQR-08,1024,8,6500,8,45eae442bb1ae48c40341fa1952368dfaea67d2bd5b56e89b86397e31cf7a0ce,0
CV04,17,TSQR-04,1024,4,6500,4,82cf725f3a664d733ba92e4a2f0fde62b264eccc6ddfc921aa709f8194fe24db,0
CV04,17,TSQR-06,1024,6,6500,6,a55cf0d3a8c7a1e99b6d212313d58aa5a928c2f4009641856c125200268b3e7a,0
